Tenure Status,Race,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tenured,American Indian or Alaskan Native,3,2,5,5,4,5,5,5,7,7,7
Tenured,Asian,100,103,106,115,116,131,135,144,157,151,148
Tenured,Black or African-American,55,56,55,61,60,66,65,69,67,67,69
Tenured,Hispanic of any race,27,29,32,39,44,48,48,47,52,55,60
Tenured,Native Hawaiian or Pacific Islander,0,0,0,0,0,0,0,0,0,0,0
Tenured,White,"1,207","1,188","1,178","1,147","1,132","1,179","1,160","1,158","1,141","1,102","1,127"
Tenured,Two or more races,4,3,4,3,3,6,7,8,8,8,7
Tenured,Race/Ethnicity Unknown,0,0,0,0,0,0,0,1,2,30,9
Tenure Track,American Indian or Alaskan Native,3,4,3,4,5,3,4,4,4,4,2
Tenure Track,Asian,70,80,84,76,78,75,79,67,65,63,71
Tenure Track,Black or African-American,36,32,39,42,39,40,38,31,34,32,36
Tenure Track,Hispanic of any race,30,26,27,26,31,29,31,30,33,35,38
Tenure Track,Native Hawaiian or Pacific Islander,0,0,0,0,1,0,0,0,1,1,1
Tenure Track,White,296,306,303,312,316,322,312,297,268,258,245
Tenure Track,Two or more races,1,1,1,1,1,4,3,5,6,7,9
Tenure Track,Race/Ethnicity Unknown,0,0,0,0,0,0,3,5,10,27,28
Tenured and Tenure Track,American Indian or Alaskan Native,6,6,8,9,9,8,9,9,11,11,9
Tenured and Tenure Track,Asian,170,183,190,191,194,206,214,211,222,214,219
Tenured and Tenure Track,Black or African-American,91,88,94,103,99,106,103,100,101,99,105
Tenured and Tenure Track,Hispanic of any race,57,55,59,65,75,77,79,77,85,90,98
Tenured and Tenure Track,Native Hawaiian or Pacific Islander,0,0,0,0,1,0,0,0,1,1,1
Tenured and Tenure Track,White,"1,503","1,494","1,481","1,459","1,448","1,501","1,472","1,455","1,409","1,360","1,372"
Tenured and Tenure Track,Two or more races,5,4,5,4,4,10,10,13,14,15,16
Tenured and Tenure Track,Race/Ethnicity Unknown,0,0,0,0,0,0,3,6,12,57,37
Fixed Term,Asian,158,165,165,172,185,210,217,218,231,224,241
Fixed Term,Black or African-American,64,71,71,75,80,92,97,93,100,114,121
Fixed Term,Hispanic of any race,48,47,52,63,67,89,91,92,96,106,103
Fixed Term,Native Hawaiian or Pacific Islander,0,1,2,3,3,2,2,2,3,2,2
Fixed Term,White,"1,187","1,230","1,219","1,296","1,285","1,440","1,530","1,572","1,615","1,590","1,625"
Fixed Term,Two or more races,4,8,8,8,6,7,6,9,16,22,26
Fixed Term,Race/Ethnicity Unknown,3,0,0,0,0,5,10,21,27,128,103
All,American Indian or Alaskan Native,9,8,9,13,13,14,16,18,20,19,16
All,Asian,328,348,355,363,379,416,431,429,453,438,460
All,Black or African-American,155,159,165,178,179,198,200,193,201,213,226
All,Hispanic of any race,105,102,111,128,142,166,170,169,181,196,201
All,Native Hawaiian or Pacific Islander,0,1,2,3,4,2,2,2,4,3,3
All,White,"2,690","2,724","2,700","2,755","2,733","2,941","3,002","3,027","3,024","2,950","2,997"
All,Two or more races,9,12,13,12,10,17,16,22,30,37,42
All,Race/Ethnicity Unknown,3,0,0,0,0,5,13,27,39,185,140
Post-Doctoral Fellows,American Indian or Alaskan Native,1,4,5,3,2,3,4,3,1,1,1
Post-Doctoral Fellows,Asian,314,296,275,275,251,203,216,190,190,216,201
Post-Doctoral Fellows,Black or African-American,32,44,43,46,47,31,39,30,27,33,35
Post-Doctoral Fellows,Hispanic of any race,35,43,35,34,39,29,26,25,37,44,37
Post-Doctoral Fellows,Native Hawaiian or Pacific Islander,2,5,6,1,2,0,1,1,0,0,1
Post-Doctoral Fellows,White,475,436,437,433,439,345,299,280,252,233,239
Post-Doctoral Fellows,Two or more races,0,2,5,4,4,7,9,9,15,17,23
Post-Doctoral Fellows,Race/Ethnicity Unknown,5,5,1,1,2,211,255,274,240,241,234
